Time,FPR
0,0.0
1,0.0
2,0.009900990099009901
3,0.02912621359223301
4,0.009900990099009901
5,0.0
6,0.0
7,0.009900990099009901
8,0.009900990099009901
9,0.02912621359223301
10,0.0196078431372549
11,0.009900990099009901
12,0.0196078431372549
13,0.019801980198019802
14,0.0196078431372549
15,0.038461538461538464
16,0.0196078431372549
17,0.0196078431372549
18,0.02912621359223301
19,0.06542056074766354
20,0.02912621359223301
21,0.038461538461538464
22,0.0196078431372549
23,0.029411764705882353
24,0.047619047619047616
25,0.047619047619047616
26,0.029411764705882353
27,0.019801980198019802
28,0.0990990990990991
29,0.038461538461538464
